"sample_id","review_priority","bucket_priority_order","bucket_rank","candidate_bucket","service_label","approved_label","emotion_major","emotion_minor","baseline_pred","baseline_score","v2_pred","v2_score","review_note","text"
"valid-003507","P1","1","1","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","감사하는","HAPPY","0.375069111585617","CALM","0.3643394112586975","","거래처에서 납품 기한일을 미루어 주었어. 정말 감사해. 응. 거래처에 잘 말하니 그동안의 신뢰 관계가 있어 받아준다고 해서 기뻤어. 감사한 마음을 가지고 더 납품하는 물건에 신경을 써야겠어."
"valid-000122","P1","1","2","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","감사하는","HAPPY","0.3692138493061065","CALM","0.3616596758365631","","입사 새내기지만 우리 팀을 잘 이끌어 주시는 팀장님이 있어서 감사함을 느껴. 그 분이 보기와는 달리 실제로는 인간미 넘치고 주어진 업무는 엄청 깔끔하게 하셔. 내가 더 믿고 신뢰해야지. 나는 그분께 정말 인정받는 신입이 되고 싶어."
"valid-006544","P1","1","3","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","감사하는","HAPPY","0.3707533776760101","CALM","0.3605144619941711","","가족끼리 외식하고 왔더니 기분이 좋네. 오랜만에 함께해서 그런지 기분이 참 좋아. 자식도 아무 일 없이 무탈하게 커가고 감사하게 생각해."
"valid-006397","P1","1","4","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","감사하는","HAPPY","0.3721025884151459","CALM","0.3594779968261719","","어제 고등학교 은사님을 만났어. 인사드리기 위해 친구들하고 찾아갔지. 어려울 때 좋은 조언을 해주신 분이야. 정말 감사하지."
"valid-006552","P1","1","5","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","감사하는","HAPPY","0.3719546198844909","CALM","0.3585588634014129","","출산을 무사히 마치고 퇴원했어. 많은 사람이 축하해줬는데 그분들께 너무 감사해. 출산 직후에는 정신이 없었는데 퇴원하고 여유가 생기니 주변 사람들에게 감사하는 마음이 들어. 그렇지. 이제 힘내서 사람들에게 감사 인사를 전하는 연락을 할 거야."
"valid-005659","P1","2","1","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","기쁨","HAPPY","0.3709701299667358","CALM","0.3614268004894256","","점점 더 몸이 건강해지고 있는 것 같아서 너무 기뻐. 운동하는 보람을 느끼게 되네."
"valid-001293","P1","2","2","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","기쁨","HAPPY","0.3734346032142639","CALM","0.3604313433170318","","회사를 그만둘 때 걱정 많았는데 프리랜서하면서 많은 일들을 맡았어. 좋은 시작을 한 것 같아서 기분이 좋네. 지금보다 일을 조금 더 확장해서 다양한 업무들을 담당해보고 싶어. 지금보다 일들이 더 많아질 테니 나와 뜻이 맞는 동업자를 찾아봐야겠어."
"valid-006285","P1","2","3","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","기쁨","HAPPY","0.3755913972854614","CALM","0.3601611852645874","","결혼식이 드디어 내일로 다가왔어. 너무 기쁘고 행복해. 그동안 결혼식 준비로 여자친구와 힘든 일을 많이 겪어서 더 좋은 것 같아. 빨리 내일이 되어 멋지게 마무리 할 수 있었으면 좋겠어."
"valid-005620","P1","2","4","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","기쁨","HAPPY","0.3771896958351135","CALM","0.3600955307483673","","아들이 선물을 사 왔어 너무 기뻐. 오늘은 저녁 식사로 맛있는 음식을 해줘야겠어."
"valid-003907","P1","2","5","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","기쁨","HAPPY","0.3710228502750397","CALM","0.3599300682544708","","내가 이제 드디어 정년을 맞이하게 되는구나. 내가 지금까지 일을 잘 해 왔다는 사실이 너무 기뻐. 내가 가진 능력들을 다른 사람들을 위해 쓰고 싶어."
"valid-003098","P1","3","1","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","신이 난","HAPPY","0.3728533983230591","CALM","0.3635174334049225","","아내와 같이 응원하던 야구팀이 우승 했어. 오랜만에 치킨과 맥주를 마시면서 응원도 하고 자연스럽게 대화도 많이 했어. 아내와 앞으로도 같은 취미생활을 더 많이 하려고 해."
"valid-002983","P1","3","2","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","신이 난","HAPPY","0.3757690787315368","CALM","0.3614886403083801","","노년을 보내려고 사 놓은 땅에 고속도로가 뚫리게 되어 큰돈을 벌게 되어 너무 신나. 은퇴 후 귀농하려고 별생각 없이 사 놓은 땅이 효자 노릇을 하게 됐어. 너무 신나. 번 돈으로 일부는 자식들에게 물려주고 귀농할 다른 땅도 보러 다녀야겠어."
"valid-004434","P1","3","3","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","신이 난","HAPPY","0.3724125921726227","CALM","0.3604172766208648","","부모님께서 내 기말고사 성적을 보시고 자랑스러워하셔서 무척 기뻐. 정말 열심히 공부했는데 좋은 성적을 받고 부모님도 기뻐하시니까 신이 나. 오늘은 부모님과 함께 나가서 외식할 거야."
"valid-000751","P1","3","4","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","신이 난","HAPPY","0.3721696436405182","CALM","0.3587881624698639","","아빠가 출장 갔다 한 달 만에 돌아오셔서 기뻐. 아빠가 힘들게 일하시다가 오셨으니 최고의 휴식을 취할 수 있게 해드릴 거야. 아빠가 나에게 안마를 받는 것을 좋아하시니 안마를 해 드릴 거야."
"valid-001009","P1","3","5","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","신이 난","HAPPY","0.3757016658782959","CALM","0.3586366176605224","","기분이 좋아서 친구들한테 한턱 냈어. 기분이 너무 좋아서 오차까지 갔어. 끝엔 기억도 안 나. 친구들이 가장 늦게 취업한 나를 위해 축하 파티를 벌여 주었거든."
"valid-003722","P1","4","1","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","자신하는","HAPPY","0.3726658225059509","CALM","0.3601234555244446","","이번에 교수님이 우리 조 팀플레이 발표를 들으시더니 참신하다고 칭찬하셨어. 에이 플러스를 기대해도 되겠어. 이번 팀플레이는 팀원들이 적극적으로 임해서 크게 힘들지 않고 좋은 결과를 낼 수 있었어. 다들 친해지고 싶은데 만나서 밥 한번 먹자고 해야겠어."
"valid-003154","P1","4","2","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","자신하는","HAPPY","0.3704070150852203","CALM","0.3590998649597168","","열심히 노력하며 살아왔기에 모두가 나를 인정하는 것 같아서 기뻐. 이 인정을 그대로 유지하고 싶은데 어떻게 해야 할까? 사람들에게 믿음을 줬는데 앞으로도 그러려고 노력해야겠어."
"valid-000635","P1","4","3","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","자신하는","HAPPY","0.3733063042163849","CALM","0.3581587374210357","","나 이번에 새로 나온 최신 핸드폰 샀는데 애들이 부러워하겠지! 내가 용돈을 열심히 모으고 시험 잘 봤기 때문에 부모님께서 사주셨어. 빨리 학교에 가서 친구들에게 자랑하고 싶어."
"valid-004267","P1","4","4","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","자신하는","HAPPY","0.3729881346225738","CALM","0.358083575963974","","이번 프로젝트에서 반드시 성과를 거둘 것이라고 믿어. 팀원들이 능력이 좋아서 일이 아주 잘 진행되고 있어. 이 프로젝트에서 성과를 거두고 나면 나도 어엿한 회사의 중심이 되는 거지."
"valid-004265","P1","4","5","HAPPY_TO_CALM_BOUNDARY_V3_PRIORITY20","HAPPY","","기쁨","자신하는","HAPPY","0.3740352392196655","CALM","0.3575253784656524","","우리 회사는 관련 산업에서 국내 최고야. 이번에 기업들 평가가 발표되었는데 우리 회사가 가장 일을 잘한다고 나왔어. 이게 다 지난 수십 년간 땀 흘리며 고생해 온 결과라고 생각해."
